pass_at_1_4096,pass_at_1_err_4096,pass_at_1_CI_low_4096,pass_at_1_CI_high_4096,pass_at_8_4096,pass_at_8_err_4096,pass_at_8_CI_low_4096,pass_at_8_CI_high_4096,pass_at_1_8192,pass_at_1_err_8192,pass_at_1_CI_low_8192,pass_at_1_CI_high_8192,pass_at_8_8192,pass_at_8_err_8192,pass_at_8_CI_low_8192,pass_at_8_CI_high_8192,pass_at_1_16384,pass_at_1_err_16384,pass_at_1_CI_low_16384,pass_at_1_CI_high_16384,pass_at_8_16384,pass_at_8_err_16384,pass_at_8_CI_low_16384,pass_at_8_CI_high_16384,pass_at_1_32768,pass_at_1_err_32768,pass_at_1_CI_low_32768,pass_at_1_CI_high_32768,pass_at_8_32768,pass_at_8_err_32768,pass_at_8_CI_low_32768,pass_at_8_CI_high_32768,years,model
0.1104166667,0.02760416667,0.06041666667,0.190625,0.2451851852,0.0612962963,0.1528170257,0.3597390379,0.1875,0.046875,0.1208333333,0.2770833333,0.372952603,0.09323815074,0.2578692062,0.4961431516,0.2322916667,0.05807291667,0.1583333333,0.3229166667,0.4614711215,0.1153677804,0.3437580913,0.5783436902,0.240625,0.06015625,0.1677083333,0.3322916667,0.4827855478,0.1206963869,0.3653400282,0.596560957,2023/24,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
0.1291666667,0.03229166667,0.05208333333,0.2541666667,0.2153820254,0.05384550635,0.09871794872,0.382192717,0.1958333333,0.04895833333,0.09583333333,0.3479166667,0.2994560995,0.07486402486,0.1658119658,0.4663170163,0.2270833333,0.05677083333,0.1166666667,0.375,0.3511111111,0.08777777778,0.2,0.5177777778,0.23125,0.0578125,0.11875,0.3855850083,0.3677777778,0.09194444444,0.2177777778,0.5407783442,2025,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
0.1427083333,0.03567708333,0.08229166667,0.2302083333,0.2563092463,0.06407731158,0.1613403398,0.3766308489,0.28125,0.0703125,0.1979166667,0.3833333333,0.4784977985,0.1196244496,0.36243786,0.5984272679,0.3114583333,0.07786458333,0.225,0.414040589,0.5456060606,0.1364015152,0.4320501486,0.6545021405,0.3125,0.078125,0.225,0.4135416667,0.5500505051,0.1375126263,0.433433108,0.6610895903,2023/24,agentica-org/DeepScaleR-1.5B-Preview
0.1770833333,0.04427083333,0.07916666667,0.325,0.2587490287,0.06468725719,0.1255322455,0.4331701632,0.24375,0.0609375,0.1229166667,0.4108636806,0.3166666667,0.07916666667,0.1833333333,0.4833333333,0.2708333333,0.06770833333,0.1416666667,0.4333333333,0.3632167832,0.0908041958,0.2,0.5364701961,0.2708333333,0.06770833333,0.1479166667,0.4375,0.3632167832,0.0908041958,0.2132167832,0.5332167832,2025,agentica-org/DeepScaleR-1.5B-Preview
0.1395833333,0.03489583333,0.08125,0.2291666667,0.2756241906,0.06890604766,0.1791141813,0.3879096785,0.215625,0.05390625,0.1458333333,0.3068470749,0.4620629371,0.1155157343,0.3501568508,0.5736798157,0.2510416667,0.06276041667,0.1760416667,0.34375,0.5321367521,0.133034188,0.4185687404,0.6391688555,0.2552083333,0.06380208333,0.1822916667,0.35,0.5412082362,0.1353020591,0.4297697533,0.6454137244,2023/24,RUC-AIBOX/STILL-3-1.5B-preview
0.1604166667,0.04010416667,0.07083333333,0.2958333333,0.2494560995,0.06236402486,0.1166666667,0.432084499,0.2145833333,0.05364583333,0.1104166667,0.3541666667,0.364014504,0.091003626,0.2088888889,0.5376016576,0.2479166667,0.06197916667,0.1354166667,0.3979166667,0.4116213416,0.1029053354,0.2495700596,0.5811888444,0.25,0.0625,0.1395833333,0.39375,0.4205102305,0.1051275576,0.2587139008,0.5948793916,2025,RUC-AIBOX/STILL-3-1.5B-preview
0.1916666667,0.04791666667,0.121875,0.2885416667,0.3614516965,0.09036292411,0.2548221815,0.4812261011,0.2885416667,0.07213541667,0.2072916667,0.384375,0.5602279202,0.1400569801,0.4425817996,0.6685044609,0.29375,0.0734375,0.2114583333,0.3895833333,0.5708313908,0.1427078477,0.4536992108,0.6805160367,0.296875,0.07421875,0.21875,0.39375,0.5836195286,0.1459048822,0.4699565314,0.6917220962,2023/24,Intelligent-Internet/II-Thought-1.5B-Preview
0.1895833333,0.04739583333,0.09166666667,0.33125,0.2917922818,0.07294807045,0.1333333333,0.4653794354,0.2291666667,0.05729166667,0.1145833333,0.3895833333,0.3255555556,0.08138888889,0.1833333333,0.5011111111,0.2354166667,0.05885416667,0.1208333333,0.3875,0.3422222222,0.08555555556,0.2,0.5088888889,0.2354166667,0.05885416667,0.1145833333,0.3916666667,0.3422222222,0.08555555556,0.1933333333,0.5097457843,2025,Intelligent-Internet/II-Thought-1.5B-Preview
0.1072916667,0.02682291667,0.05520833333,0.1885416667,0.2159401709,0.05398504274,0.1309090715,0.322991453,0.175,0.04375,0.1135416667,0.2595475653,0.3987917638,0.09969794095,0.2940081911,0.5137379883,0.2197916667,0.05494791667,0.1520833333,0.3072916667,0.4899054649,0.1224763662,0.3689245657,0.6008240766,0.23125,0.0578125,0.1614583333,0.321875,0.5184239834,0.1296059959,0.4015420337,0.6324914659,2023/24,knoveleng/Open-RS1
0.1458333333,0.03645833333,0.06041666667,0.28125,0.2251282051,0.05628205128,0.09957264957,0.3922222222,0.1916666667,0.04791666667,0.08958333333,0.3382721764,0.2824786325,0.07061965812,0.1333333333,0.4495726496,0.225,0.05625,0.1166666667,0.3708333333,0.3409168609,0.08522921523,0.1909168609,0.5164915486,0.2270833333,0.05677083333,0.11875,0.3791666667,0.3409375809,0.08523439523,0.1896555297,0.5153810488,2025,knoveleng/Open-RS1
